Oficina test

N1 = (0,0)
N2 = (503,958)
N3 = (584,25)
N4 = (120,936)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171127222719,211,903,926,295,956,151,-54,-625,-685,-64
20171127222720,221,904,928,285,954,155,-55,-675,-685,-54
20171127222720,222,897,921,285,948,153,-55,-615,-865,-55
20171127222721,218,900,921,287,954,153,-55,-695,-745,-55
20171127222722,229,900,924,276,950,175,-55,-645,-645,-74
20171127222722,241,894,917,263,943,201,-53,-575,-675,-68
20171127222723,255,895,921,249,939,188,-64,-595,-635,-68
20171127222724,260,899,928,245,939,197,-51,-555,-655,-61
20171127222725,272,900,932,232,937,208,-61,-675,-625,-61
20171127222725,286,902,943,221,930,186,-61,-675,-655,-65
20171127222726,297,897,939,210,924,261,-60,-675,-655,-61
20171127222727,303,905,950,204,928,197,-60,-685,-655,-61
20171127222728,311,897,943,197,919,294,-63,-635,-835,-61
20171127222728,321,896,943,186,917,269,-68,-545,-855,-61
20171127222729,329,891,935,177,915,282,-68,-595,-615,-59
20171127222730,331,894,941,175,915,291,-69,-675,-635,-65
20171127222730,334,893,939,171,915,300,-59,-675,-635,-65
20171127222731,346,893,946,162,910,307,-63,-705,-645,-59
20171127222731,352,900,954,153,915,298,-66,-555,-685,-59
20171127222732,372,897,959,137,906,269,-57,-515,-745,-67
20171127222733,387,895,968,127,897,316,-62,-675,-605,-67
20171127222733,385,897,968,127,901,316,-61,-555,-605,-70
20171127222734,386,898,972,127,900,274,-63,-595,-605,-71
20171127222735,391,897,968,120,900,291,-60,-695,-715,-71
20171127222735,414,906,983,94,906,326,-54,-5415,-715,-63
20171127222736,414,909,990,96,906,335,-54,-6925,-625,-63
20171127222736,422,904,985,89,901,340,-57,-6425,-625,-64
20171127222737,422,904,987,89,901,335,-56,-6435,-635,-67
20171127222737,429,902,992,87,895,353,-58,-5655,-655,-63
20171127222738,441,898,994,81,888,359,-63,-4845,-645,-62
20171127222739,445,892,985,78,882,364,-63,-5445,-645,-62
20171127222739,442,892,987,83,882,366,-56,-5315,-715,-71
20171127222740,450,888,992,83,875,377,-63,-5895,-695,-71
20171127222741,451,889,994,83,875,381,-59,-7145,-645,-61
20171127222741,462,887,1000,81,871,394,-66,-5705,-605,-59
20171127222742,475,885,1011,85,869,390,-66,-5625,-625,-68
20171127222742,460,887,1005,87,871,388,-68,-6025,-625,-59
20171127222744,536,857,1005,120,853,401,-63,-515,-645,-60
20171127222744,556,818,981,166,818,414,-72,-625,-645,-66
20171127222745,526,835,987,129,818,425,-72,-585,-735,-66
20171127222745,512,832,978,131,816,423,-64,-575,-635,-60
20171127222747,503,800,948,175,794,421,-67,-505,-635,-59
20171127222748,514,793,946,177,783,425,-67,-585,-645,-58
20171127222748,520,790,946,181,781,427,-61,-575,-665,-56
20171127222749,530,790,950,184,783,425,-69,-505,-665,-57
20171127222750,522,778,937,188,763,436,-69,-505,-665,-55
20171127222750,526,756,921,214,746,0,-67,-545,-645,
20171127222751,523,755,919,212,742,471,-78,-535,-695,-56
20171127222751,532,750,919,217,735,474,-78,-495,-695,-63
20171127222752,530,754,921,217,743,476,-71,-565,-665,-63
20171127222753,512,748,908,223,739,416,-70,-505,-695,-66
20171127222755,515,708,878,267,704,469,-73,-505,-665,-58
20171127222755,523,704,878,269,697,469,-64,-525,-675,-65
20171127222756,508,684,855,289,678,489,-63,-555,-675,-61
20171127222756,518,665,845,307,658,498,-63,-515,-725,-58
20171127222757,522,666,847,307,658,489,-67,-605,-675,-64
20171127222758,507,661,836,309,653,495,-67,-565,-675,-60
20171127222758,512,654,833,318,647,520,-74,-565,-675,-62
20171127222759,507,636,816,333,627,539,-74,-515,-675,-63
20171127222759,506,616,801,362,614,524,-59,-535,-675,-62
20171127222800,509,614,801,364,612,530,-70,-575,-675,-60
20171127222801,508,611,798,364,607,535,-67,-595,-685,-60
20171127222801,501,611,794,364,607,539,-67,-595,-685,-63
20171127222802,508,574,768,388,559,550,-72,-535,-625,-65
20171127222803,500,563,757,412,559,563,-72,-575,-675,-57
20171127222803,500,558,752,412,550,563,-65,-565,-605,-63
20171127222804,507,558,757,414,552,568,-70,-565,-645,-58
20171127222804,500,557,752,414,550,568,-70,-575,-625,-57
20171127222805,511,536,743,432,526,583,-71,-645,-585,-57
20171127222806,510,516,728,454,508,568,-71,-645,-625,-57
20171127222806,502,510,719,458,502,581,-71,-545,-665,-56
20171127222807,502,509,719,467,507,575,-66,-575,-615,-59
20171127222808,598,261,702,484,0,579,-65,-575,0,-65
20171127222809,484,484,691,495,487,598,-65,-585,-595,-70
20171127222809,503,466,689,504,460,605,-64,-575,-645,-79
20171127222810,506,462,689,511,458,618,-64,-585,-645,-61
20171127222810,499,460,684,517,460,675,-67,-585,-595,-66
20171127222811,530,480,682,0,0,658,-67,0,0,-61
20171127222812,507,425,665,548,421,653,-67,-575,-575,-60
20171127222812,503,424,662,550,421,660,-61,-545,-575,-60
20171127222813,510,421,666,557,421,662,-57,-535,-575,-63
20171127222813,509,416,662,561,416,669,-61,-535,-575,-61
20171127222814,500,387,636,585,384,689,-61,-565,-575,-64
20171127222815,498,374,627,597,372,687,-62,-565,-575,-61
20171127222815,501,371,627,597,366,691,-62,-575,-615,-64
20171127222816,502,372,627,592,362,687,-62,-645,-655,-63
20171127222817,497,365,621,605,362,697,-63,-645,-655,-65
