Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

data = Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171116002431,167,145,276,226,353,254,-52,-67,-50,-53
20171116002432,164,148,274,223,359,247,-52,-67,-50,-53
20171116002433,155,149,282,217,368,243,-46,-67,-50,-53
20171116002433,139,141,298,199,381,241,-46,-67,-52,-65
20171116002434,125,139,318,190,390,232,-46,-55,-52,-65
20171116002435,121,140,324,190,392,223,-46,-59,-52,-57
20171116002436,116,139,326,184,399,227,-46,-64,-56,-58
20171116002437,104,141,335,177,412,205,-53,-64,-59,-62
20171116002438,87,137,353,164,427,205,-51,-61,-59,-60
20171116002438,80,146,364,171,432,199,-51,-56,-54,-58
20171116002439,79,145,357,166,439,204,-51,-56,-54,-58
20171116002440,83,148,355,171,434,201,-51,-61,-59,-57
20171116002440,80,150,355,171,439,199,-54,-61,-59,-57
20171116002441,75,153,359,171,445,186,-57,-56,-54,-59
20171116002442,71,145,364,162,447,186,-52,-56,-60,-59
20171116002443,64,143,362,153,460,171,-52,-56,-55,-60
20171116002443,46,171,394,181,471,164,-50,-56,-55,-60
20171116002444,40,138,399,146,471,159,-50,-56,-55,-60
20171116002445,41,134,399,142,469,162,-50,-56,-52,-57
20171116002446,44,150,394,158,471,164,-50,-55,-53,-56
20171116002447,39,144,399,151,474,168,-50,-52,-53,-57
20171116002447,33,155,408,162,478,164,-50,-55,-53,-57
20171116002448,40,152,394,158,478,158,-50,-56,-53,-57
20171116002449,30,128,401,129,487,142,-53,-55,-59,-63
20171116002449,50,163,371,166,484,131,-53,-55,-59,-63
20171116002450,53,160,364,162,484,131,-53,-55,-54,-60
20171116002450,47,157,371,158,487,136,-56,-57,-54,-60
20171116002451,48,151,368,151,487,137,-56,-60,-54,-57
20171116002452,46,152,372,153,487,131,-56,-59,-54,-56
20171116002452,49,160,371,162,484,133,-56,-59,-54,-56
20171116002453,52,157,364,158,484,136,-49,-58,-60,-63
20171116002453,46,155,371,155,489,131,-49,-59,-60,-63
20171116002454,43,150,377,151,487,131,-54,-59,-60,-67
20171116002455,45,165,375,166,489,131,-54,-57,-60,-58
20171116002455,35,174,394,177,493,116,-53,-57,-60,-64
20171116002456,49,176,359,173,500,113,-54,-57,-60,-58
20171116002457,45,171,364,168,502,107,-54,-51,-49,-60
20171116002457,43,189,368,186,507,107,-56,-51,-49,-60
20171116002459,42,190,372,188,507,100,-56,-56,-50,-61
20171116002500,54,207,372,212,491,136,-64,-56,-50,-61
20171116002501,73,201,353,212,471,127,-53,-58,-57,-48
20171116002501,93,244,340,261,469,136,-50,-61,-66,-48
20171116002502,93,242,337,258,471,131,-50,-61,-57,-48
20171116002503,87,223,337,236,471,133,-50,-61,-57,-49
20171116002503,77,182,340,192,467,142,-50,-61,-67,-52
20171116002504,80,179,340,192,460,142,-50,-63,-58,-50
20171116002504,80,176,340,188,460,146,-50,-61,-62,-51
20171116002505,80,189,346,204,458,144,-51,-61,-62,-51
20171116002506,94,177,331,197,443,149,-50,-61,-59,-49
20171116002506,111,202,311,227,440,168,-50,-57,-59,-49
20171116002507,120,189,300,219,427,175,-50,-57,-59,-50
20171116002508,127,192,294,226,421,184,-50,-57,-56,-50
20171116002509,127,197,295,230,423,186,-50,-57,-56,-50
20171116002510,133,188,289,226,414,186,-50,-57,-50,-53
20171116002511,125,196,304,232,419,195,-50,-66,-55,-53
20171116002512,163,211,265,265,394,223,-51,-58,-51,-53
20171116002512,171,219,256,276,392,223,-50,-58,-51,-53
20171116002513,176,225,249,282,394,230,-50,-58,-51,-58
20171116002514,174,228,247,282,401,232,-50,-58,-51,-58
20171116002514,183,211,252,282,371,232,-50,-64,-49,-54
20171116002515,197,222,247,304,359,232,-50,-64,-50,-54
20171116002515,215,202,221,298,340,252,-47,-64,-58,-62
20171116002516,221,214,204,304,350,267,-47,-64,-58,-57
20171116002517,224,200,208,302,333,274,-44,-61,-57,-57
20171116002517,232,196,208,309,320,278,-44,-61,-53,-57
20171116002518,227,209,204,309,337,287,-44,-61,-54,-56
20171116002518,235,200,208,316,318,278,-43,-61,-54,-56
20171116002520,250,198,186,322,309,272,-47,-61,-53,-59
20171116002520,268,195,168,335,294,302,-47,-61,-49,-59
20171116002521,268,203,168,340,298,309,-47,-68,-49,-66
20171116002522,273,196,168,344,287,302,-47,-68,-49,-62
20171116002522,272,197,168,342,289,307,-47,-68,-49,-62
20171116002523,271,200,171,344,291,309,-47,-68,-49,-64
20171116002523,274,200,164,344,291,313,-52,-68,-47,-65
20171116002524,290,202,153,362,278,324,-52,-68,-47,-65
20171116002525,302,201,140,371,269,331,-52,-68,-47,-65
20171116002526,314,184,120,366,254,340,-52,-55,-45,-60
20171116002526,328,141,129,368,217,340,-41,-52,-50,-60
20171116002527,328,146,124,368,219,337,-11,-52,-50,-60
20171116002528,326,146,129,368,221,337,-42,-52,-52,-60
20171116002528,324,148,127,364,223,337,-41,-52,-52,-60
20171116002529,324,145,127,362,221,335,-41,-52,-51,-60
20171116002529,324,154,124,366,227,346,-11,-52,-51,-60
20171116002530,334,180,105,386,236,350,-44,-61,-51,-60
20171116002531,358,163,96,408,210,366,-44,-61,-51,-59
20171116002531,361,170,85,408,212,379,-44,-61,-49,-69
20171116002532,366,162,85,410,204,379,-44,-61,-51,-69
20171116002533,369,158,87,414,201,377,-44,-61,-50,-69
20171116002533,366,162,83,408,204,377,-44,-61,-48,-69
20171116002534,369,158,89,416,201,372,-42,-61,-48,-65
20171116002535,373,161,85,423,201,375,-42,-61,-50,-65
20171116002536,390,160,69,434,192,394,-53,-61,-50,-63
20171116002537,407,156,59,445,181,414,-53,-61,-53,-65
20171116002537,403,155,61,440,181,419,-53,-61,-57,-65
20171116002538,403,153,59,436,177,412,-53,-61,-57,-65
20171116002539,397,163,50,430,186,414,-53,-61,-57,-65
20171116002540,401,162,54,439,186,388,-53,-61,-54,-65
20171116002540,398,166,52,436,190,397,-53,-64,-56,-65
20171116002542,416,165,45,454,184,421,-53,-64,-61,-64
20171116002542,413,168,43,452,186,423,-53,-58,-61,-62
20171116002543,415,167,41,452,184,482,-53,-58,-57,-67
20171116002543,414,165,37,445,179,445,-52,-58,-57,-67
20171116002544,415,164,37,445,177,410,-52,-58,-57,-65
20171116002545,413,167,34,443,179,414,-52,-58,-59,-64
20171116002545,411,168,32,440,181,412,-52,-57,-59,-64
20171116002546,418,178,30,458,192,421,-45,-57,-59,-64
20171116002547,415,204,21,467,212,449,-45,-62,-59,-64
20171116002547,424,214,15,476,223,412,-11,-62,-59,-64
20171116002548,421,221,21,476,232,416,-11,-57,-67,-60
20171116002549,423,222,19,478,234,412,-11,-57,-61,-60
20171116002550,426,222,17,482,234,416,-11,-60,-61,-60
20171116002551,430,225,21,487,234,410,-11,-65,-62,-67
20171116002551,430,217,13,484,227,416,-11,-65,-62,-67
20171116002552,422,220,19,476,232,421,-11,-65,-61,-68
20171116002553,405,222,39,465,230,414,-11,-65,-61,-67
20171116002553,398,225,47,460,236,401,-11,-58,-61,-67
20171116002554,384,218,61,449,232,394,-11,-56,-54,-67
20171116002555,376,210,68,440,230,388,-11,-56,-59,-62
20171116002556,377,209,65,439,230,392,-11,-56,-59,-64
20171116002556,380,221,63,445,239,394,-11,-56,-65,-64
20171116002557,376,211,63,436,234,390,-11,-59,-65,-66
20171116002558,378,212,61,439,234,390,-11,-60,-62,-66
20171116002558,375,211,65,436,234,384,-11,-60,-62,-66
20171116002559,377,214,59,436,239,386,-11,-60,-62,-66
20171116002559,371,209,68,432,234,371,-11,-60,-61,-63
20171116002600,368,215,72,432,241,379,-11,-64,-61,-63
20171116002601,369,217,72,434,241,379,-11,-64,-61,-63
20171116002601,362,216,76,425,247,377,-42,-61,-57,-66
20171116002602,341,214,94,405,258,359,-42,-61,-52,-66
20171116002602,329,223,113,403,269,340,-50,-62,-52,-68
20171116002603,330,226,105,401,276,348,-50,-62,-51,-68
20171116002604,327,223,111,399,272,342,-50,-62,-51,-68
20171116002604,324,221,111,394,274,337,-44,-60,-53,-68
20171116002605,318,228,116,392,285,337,-44,-60,-53,-68
20171116002605,317,228,118,392,285,335,-44,-60,-53,-71
20171116002606,317,238,116,394,298,331,-44,-68,-55,-71
20171116002607,301,219,137,377,285,324,-44,-68,-53,-71
20171116002608,271,255,155,366,348,316,-44,-59,-53,-71
20171116002610,242,246,192,344,353,274,-47,-63,-51,-65
20171116002610,236,249,195,340,362,272,-47,-56,-54,-61
20171116002611,252,253,179,353,355,265,-50,-56,-54,-61
20171116002612,251,254,184,355,353,263,-49,-56,-54,-70
20171116002612,246,250,188,350,353,265,-59,-56,-54,-70
20171116002613,249,254,188,355,353,263,-51,-56,-54,-70
20171116002613,250,252,179,350,357,269,-51,-57,-54,-67
20171116002614,249,255,181,353,359,267,-51,-57,-53,-67
20171116002615,236,248,190,337,366,267,-51,-56,-49,-66
20171116002616,202,253,239,326,381,239,-51,-56,-49,-63
20171116002617,190,252,245,316,394,221,-45,-56,-51,-61
20171116002619,192,243,236,307,392,219,-44,-58,-56,-62
20171116002619,185,248,245,307,399,221,-43,-61,-55,-62
20171116002620,184,249,245,307,401,223,-42,-61,-53,-62
20171116002621,175,247,261,304,401,214,-42,-61,-53,-63
20171116002621,164,258,276,307,414,208,-44,-61,-54,-60
20171116002622,166,243,269,295,405,201,-46,-61,-54,-60
20171116002623,153,238,287,287,408,186,-48,-58,-53,-66
20171116002623,153,258,282,300,427,177,-48,-58,-56,-66
20171116002624,150,267,295,309,427,164,-48,-61,-56,-66
20171116002624,153,258,282,300,427,171,-49,-61,-54,-57
20171116002625,150,247,280,287,427,166,-49,-58,-54,-63
20171116002626,164,280,282,326,427,164,-54,-61,-54,-60
20171116002627,150,266,291,307,430,164,-49,-58,-57,-63
20171116002627,148,272,295,311,436,166,-49,-60,-55,-61
20171116002629,141,268,316,311,423,146,-48,-59,-57,-59
20171116002629,108,190,340,227,414,129,-48,-61,-57,-59
20171116002630,78,209,346,221,471,116,-53,-61,-57,-58
20171116002630,100,186,353,221,416,118,-53,-59,-49,-58
20171116002631,70,240,346,243,504,116,-53,-61,-49,-51
20171116002632,84,250,348,263,482,113,-53,-61,-54,-50
20171116002632,80,268,362,282,487,118,-53,-58,-49,-50
20171116002634,11,225,408,221,546,98,-52,-64,-54,-50
20171116002634,55,232,384,241,489,81,-52,-64,-54,-50
20171116002635,-8,219,440,219,548,72,-54,-59,-51,-47
20171116002635,10,234,392,223,570,68,-54,-59,-53,-47
20171116002636,-18,223,443,221,568,69,-54,-59,-53,-48
20171116002637,-21,232,445,230,575,61,-54,-59,-53,-48
20171116002637,-30,229,458,230,577,56,-54,-62,-52,-47
20171116002638,-11,230,443,230,557,61,-52,-62,-57,-47
20171116002639,13,224,443,234,504,68,-52,-62,-50,-48
20171116002640,4,206,423,205,535,63,-52,-59,-50,-49
20171116002640,37,218,384,217,517,65,-51,-59,-50,-49
20171116002641,16,215,410,214,529,63,-51,-59,-55,-51
