Recognition test. 4 ZigZag around the place.

N1 = (432,2)
N2 = (0,0)
N3 = (495,5)
N4 = (0,250)

Timestamps, x_calculated, y_calculated, d1, d2, d3, d4, rssi1, rssi2, rssi3, rssi4
20171116073915,206,-48,326,227,316,335,-50,-58,-59,-57
20171116073916,192,-76,355,217,331,337,-50,-58,-68,-57
20171116073917,146,105,333,204,350,285,-50,-58,-68,-57
20171116073917,183,57,291,199,318,269,-50,-57,-68,-57
20171116073918,169,27,318,181,333,269,-50,-57,-68,-61
20171116073918,138,101,322,181,364,269,-50,-57,-68,-61
20171116073919,140,100,316,179,364,267,-56,-71,-58,-61
20171116073920,142,94,313,175,362,256,-51,-71,-69,-53
20171116073920,135,89,329,171,366,254,-55,-54,-51,-53
20171116073921,159,33,322,168,340,236,-55,-54,-55,-53
20171116073922,160,74,307,184,342,0,-50,-60,-55,0
20171116073922,154,117,318,214,346,226,-50,-60,-57,-53
20171116073923,136,112,322,186,368,208,-61,-60,-57,-58
20171116073923,134,158,311,214,384,201,-61,-60,-57,-54
20171116073924,123,202,320,243,410,201,-61,-63,-47,-54
20171116073925,145,200,289,249,399,204,-61,-63,-47,-54
20171116073925,164,216,263,269,397,205,-61,-63,-58,-54
20171116073926,165,208,261,263,392,221,-61,-63,-58,-68
20171116073926,185,212,243,280,375,219,-61,-63,-58,-68
20171116073927,197,201,227,278,362,243,-61,-63,-58,-59
20171116073928,214,214,208,298,357,254,-47,-63,-61,-59
20171116073928,239,183,195,302,311,269,-47,-63,-61,-60
20171116073929,244,178,195,307,302,280,-47,-54,-57,-60
20171116073929,254,164,179,302,289,307,-44,-51,-57,-60
20171116073931,263,162,184,318,276,311,-46,-53,-56,-59
20171116073931,267,144,184,313,265,326,-46,-59,-56,-59
20171116073932,266,87,204,285,245,324,-46,-59,-56,-59
20171116073933,287,62,201,298,217,348,-51,-56,-53,-55
20171116073934,275,49,219,285,227,346,-51,-56,-57,-48
20171116073934,258,40,245,285,256,355,-51,-56,-57,-48
20171116073936,250,-66,318,265,263,348,-55,-55,-57,-48
20171116073936,233,33,265,254,276,394,-55,-55,-57,-53
20171116073937,219,-20,302,236,295,342,-55,-55,-57,-56
20171116073939,160,108,294,199,348,276,-56,-58,-64,-56
20171116073939,160,81,304,188,342,261,-56,-54,-64,-56
20171116073940,148,77,320,177,353,272,-56,-54,-56,-56
20171116073940,154,81,313,184,348,274,-56,-51,-56,-56
20171116073941,148,90,318,186,353,256,-52,-51,-56,-56
20171116073942,120,159,307,197,410,226,-53,-55,-56,-57
20171116073943,128,155,295,195,405,219,-53,-55,-53,-57
20171116073944,128,200,295,234,423,214,-58,-60,-53,-59
20171116073945,133,191,300,234,405,212,-58,-60,-57,-59
20171116073945,159,180,285,247,371,226,-58,-60,-57,-59
20171116073946,166,201,265,261,384,221,-58,-60,-57,-59
20171116073946,185,181,256,265,350,227,-58,-60,-57,-59
20171116073947,179,198,252,267,371,227,-58,-64,-57,-59
20171116073948,195,203,236,282,359,232,-58,-64,-50,-59
